url,threat,ipQuality
https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Risikogebiete_neu.html;jsessionid=0775153709B0BC102B22A69EB878DE35.internet072?nn=13490888,NONE,NONE
https://vm.ee/en/who-does-not-need-visa-visit-estonia,NONE,NONE
https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:12100:0::NO::P12100_ILO_CODE:C108,NONE,NONE
https://www.ilo.org/dyn/normlex/en/f?p=NORMLEXPUB:94:0:::::,NONE,NONE
https://www.tallinn-airport.ee/en/,NONE,NONE
https://www.mscbs.gob.es/en/profesionales/saludPublica/ccayes/alertasActual/nCov/spth.htm,NONE,NONE
https://spthm.puertos.es/,NONE,NONE
https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000041768187&dateTexte=&categorieLien=id,NONE,NONE
https://www.gov.hk/en/apps/immdes2indianparreg.htm,NONE,NONE
https://www.mohfw.gov.in/pdf/Guidelinesforinternationalarival28112021,NONE,NONE
https://www.visitjordan.gov.jo,NONE,NONE
https://www.ecitizen.go.ke/,NONE,NONE
https://cov19ent.kdca.go.kr/,NONE,NONE
https://www.kuwaitmosafer.gov.kw/,NONE,NONE
https://www.kuwaitairways.com/en/information/usefulinfo/Pages/Covid19-Safety-Information.aspx,NONE,NONE
https://corona.e.gov.kw/En/,NONE,NONE
https://urm.lt/default/en/important-covid19,NONE,NONE
http://koronastop.lrv.lt/en/news/covid-19-related-restrictions-updated-on-12-august-2020,NONE,NONE
http://www.imo.org/en/MediaCentre/HotTopics/Pages/Coronavirus.aspx,NONE,NONE
http://koronastop.lrv.lt/en/,NONE,NONE
https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/treatments-vaccines/vaccines-covid-19/covid-19-vaccines-authorised,NONE,NONE
https://ec.europa.eu/info/live-work-travel-eu/coronavirus-response/safe-covid-19-vaccines-europeans/eu-digital-covid-certificate_en,NONE,NONE
https://www.visitmalta.com/en/reopening-airport#:~:text=Malta%20International%20Airport%20will%20be,NONE,NONE
